id_measurement,id_rp,id_sensor,temperature,measured_date,humidity,save_date
25,1,1,25,2021-04-23 16:07:29.788993+02,40,2021-04-23 14:07:29.886712
26,1,1,,2021-04-23 16:02:29.429942+02,,2021-04-23 14:07:30.005571
27,1,1,26,2021-04-23 16:12:29.88847+02,39,2021-04-23 14:12:29.918095
28,1,1,23,2021-04-26 11:38:52.032278+02,54,2021-04-26 09:38:52.472422
29,1,1,25,2021-04-23 16:17:29.988691+02,39,2021-04-26 09:38:52.64444
30,1,1,26,2021-04-23 16:22:30.088788+02,39,2021-04-26 09:38:52.781022
31,1,1,25,2021-04-23 16:27:30.188904+02,38,2021-04-26 09:38:52.89406
32,1,1,26,2021-04-23 16:32:30.288969+02,39,2021-04-26 09:38:53.003658
33,1,1,24,2021-04-23 16:37:30.389128+02,39,2021-04-26 09:38:53.127393
34,1,1,25,2021-04-23 16:42:30.489252+02,39,2021-04-26 09:38:53.23379
35,1,1,25,2021-04-23 16:47:30.589483+02,38,2021-04-26 09:38:53.367799
36,1,1,26,2021-04-23 16:52:30.60431+02,39,2021-04-26 09:38:53.496239
37,1,1,25,2021-04-23 16:57:30.704737+02,38,2021-04-26 09:38:53.606302
38,1,1,25,2021-04-23 17:02:30.80503+02,37,2021-04-26 09:38:53.71161
39,1,1,26,2021-04-23 17:07:30.905008+02,38,2021-04-26 09:38:53.83444
40,1,1,26,2021-04-23 17:12:30.987355+02,38,2021-04-26 09:38:53.948602
41,1,1,26,2021-04-23 17:17:31.087638+02,38,2021-04-26 09:38:54.043275
42,1,1,25,2021-04-23 17:22:31.101904+02,38,2021-04-26 09:38:54.241409
43,1,1,26,2021-04-23 17:27:31.152097+02,38,2021-04-26 09:38:54.370517
44,1,1,27,2021-04-23 17:32:31.25209+02,37,2021-04-26 09:38:54.501562
45,1,1,27,2021-04-23 17:37:31.272046+02,37,2021-04-26 09:38:54.634749
46,1,1,27,2021-04-23 17:42:31.33199+02,36,2021-04-26 09:38:54.776362
47,1,1,29,2021-04-23 17:47:31.432084+02,33,2021-04-26 09:38:54.929365
48,1,1,28,2021-04-23 17:52:31.442019+02,33,2021-04-26 09:38:55.073585
49,1,1,30,2021-04-23 17:57:31.542059+02,31,2021-04-26 09:38:55.20845
50,1,1,28,2021-04-23 18:02:31.642198+02,33,2021-04-26 09:38:55.356256
51,1,1,29,2021-04-23 18:07:31.661894+02,32,2021-04-26 09:38:55.510351
52,1,1,28,2021-04-23 18:12:31.762032+02,32,2021-04-26 09:38:55.660415
53,1,1,27,2021-04-23 18:17:31.862165+02,33,2021-04-26 09:38:55.805984
54,1,1,27,2021-04-23 18:22:31.962429+02,34,2021-04-26 09:38:55.945314
55,1,1,28,2021-04-23 18:27:32.062437+02,33,2021-04-26 09:38:56.094266
56,1,1,27,2021-04-23 18:32:32.16266+02,33,2021-04-26 09:38:56.255302
57,1,1,28,2021-04-23 18:37:32.262801+02,31,2021-04-26 09:38:56.427719
58,1,1,29,2021-04-23 18:42:32.362814+02,31,2021-04-26 09:38:56.583072
59,1,1,30,2021-04-23 18:47:32.46294+02,28,2021-04-26 09:38:56.741676
60,1,1,28,2021-04-23 18:52:32.563079+02,29,2021-04-26 09:38:56.880536
61,1,1,30,2021-04-23 18:57:32.663212+02,28,2021-04-26 09:38:57.02739
62,1,1,31,2021-04-23 19:02:32.763345+02,28,2021-04-26 09:38:57.166136
63,1,1,28,2021-04-23 19:07:32.831968+02,30,2021-04-26 09:38:57.301944
64,1,1,30,2021-04-23 19:12:32.861966+02,29,2021-04-26 09:38:57.446655
65,1,1,28,2021-04-23 19:17:32.93033+02,31,2021-04-26 09:38:57.591182
66,1,1,28,2021-04-23 19:22:33.031395+02,31,2021-04-26 09:38:57.730236
67,1,1,28,2021-04-23 19:27:33.11197+02,30,2021-04-26 09:38:57.870685
68,1,1,29,2021-04-23 19:32:33.212206+02,30,2021-04-26 09:38:58.01223
69,1,1,29,2021-04-23 19:37:33.311436+02,31,2021-04-26 09:38:58.152097
70,1,1,29,2021-04-23 19:42:33.420861+02,30,2021-04-26 09:38:58.288716
71,1,1,29,2021-04-23 19:47:33.512134+02,30,2021-04-26 09:38:58.454202
72,1,1,28,2021-04-23 19:52:33.612259+02,31,2021-04-26 09:38:58.601766
73,1,1,28,2021-04-23 19:57:33.712336+02,31,2021-04-26 09:38:58.754683
74,1,1,30,2021-04-23 20:02:33.812388+02,29,2021-04-26 09:38:58.893563
75,1,1,30,2021-04-23 20:07:33.861659+02,29,2021-04-26 09:38:59.027479
76,1,1,30,2021-04-23 20:12:34.220027+02,29,2021-04-26 09:38:59.156498
77,1,1,28,2021-04-23 20:17:34.578281+02,29,2021-04-26 09:38:59.291048
78,1,1,29,2021-04-23 20:22:34.67832+02,30,2021-04-26 09:38:59.444126
79,1,1,29,2021-04-23 20:27:34.778496+02,29,2021-04-26 09:38:59.587252
80,1,1,29,2021-04-23 20:32:34.878544+02,30,2021-04-26 09:38:59.731082
81,1,1,28,2021-04-23 20:37:34.978725+02,31,2021-04-26 09:38:59.866781
82,1,1,27,2021-04-23 20:42:35.078871+02,33,2021-04-26 09:39:00.011255
83,1,1,27,2021-04-23 20:47:35.178987+02,35,2021-04-26 09:39:00.152182
84,1,1,28,2021-04-23 20:52:35.279097+02,32,2021-04-26 09:39:00.295737
85,1,1,28,2021-04-23 20:57:35.379291+02,32,2021-04-26 09:39:00.442236
86,1,1,29,2021-04-23 21:02:35.479381+02,32,2021-04-26 09:39:00.580321
87,1,1,29,2021-04-23 21:07:35.579445+02,32,2021-04-26 09:39:00.726199
88,1,1,28,2021-04-23 21:12:35.679582+02,32,2021-04-26 09:39:00.85739
89,1,1,29,2021-04-23 21:17:35.779674+02,32,2021-04-26 09:39:00.996724
90,1,1,28,2021-04-23 21:22:35.879808+02,32,2021-04-26 09:39:01.14659
91,1,1,28,2021-04-23 21:27:35.979721+02,32,2021-04-26 09:39:01.288394
92,1,1,28,2021-04-23 21:32:36.337961+02,32,2021-04-26 09:39:01.457431
