id_aggregation,id_rp,id_sensor,temperature_mean,temperature_variance,humidity_mean,humidity_variance,measured_date,aggregation_size
2,1,1,21.451,4.326,33.191,7.528,2021-05-01,288
3,1,1,22.829,5.176,31.794,9.497,2021-05-02,287
4,1,1,21.549,2.28,36.458,3.522,2021-05-03,288
5,1,1,23.903,4.817,37.597,9.01,2021-05-04,288
6,1,1,24.948,4.672,36.833,12.754,2021-05-05,288
7,1,1,25.483,4.342,34.524,10.171,2021-05-06,288
14,2,2,24.455,1.5,30.892,2.567,2021-05-01,288
15,2,2,24.243,1.428,31.174,3.803,2021-05-02,288
16,2,2,24.583,1.56,33.747,2.188,2021-05-03,288
17,2,2,24.948,1.791,37.351,2.898,2021-05-04,288
18,2,2,25.997,1.618,36.17,6.761,2021-05-05,288
19,2,2,27.149,1.736,34.108,4.306,2021-05-06,288
20,1,1,26.038,4.206,29.635,10.142,2021-05-07,288
21,1,1,26.719,3.917,28.042,5.355,2021-05-08,288
22,1,1,25.111,3.357,36.542,4.89,2021-05-09,288
26,2,2,27.486,1.836,29.354,6.639,2021-05-07,288
27,2,2,28.861,1.902,28.017,1.689,2021-05-08,288
28,2,2,28.194,1.054,33.413,3.329,2021-05-09,288
29,1,1,22.347,1.411,40.771,3.24,2021-05-10,288
31,2,2,26.77,1.267,35.456,2.788,2021-05-10,287
32,1,1,23.014,4.218,34.785,9.235,2021-05-11,288
33,1,1,24.01,4.194,36.413,4.171,2021-05-12,288
34,1,1,24.431,4.035,37.243,6.552,2021-05-13,288
35,1,1,25.209,4.492,35.328,8.869,2021-05-14,287
36,1,1,27.681,5.878,30.41,9.334,2021-05-15,288
37,1,1,27.684,4.264,33.354,9.159,2021-05-16,288
38,1,1,27.142,3.92,33.483,11.848,2021-05-17,288
46,2,2,25.868,1.34,32.038,3.618,2021-05-11,288
47,2,2,26.552,1.295,33.906,2.591,2021-05-12,288
48,2,2,26.632,1.689,35.354,3.278,2021-05-13,288
49,2,2,26.941,1.354,34.365,2.953,2021-05-14,288
50,2,2,28.111,2.077,31.622,3.424,2021-05-15,288
51,2,2,28.66,1.987,34.267,3.654,2021-05-16,288
52,2,2,27.306,1.42,35.302,6.747,2021-05-17,288
53,1,1,27.111,4.951,29.118,7.607,2021-05-18,288
54,1,1,27.354,4.302,30.674,14.18,2021-05-19,288
55,1,1,27.825,5.006,32.158,10.697,2021-05-20,291
56,1,1,27.01,3.747,36.104,9.73,2021-05-21,288
57,1,1,26.628,3.687,27.503,10.646,2021-05-22,288
58,1,1,26.267,4.093,20.938,6.179,2021-05-23,288
65,2,2,27.056,2.256,32.066,3.474,2021-05-18,288
66,2,2,27.031,1.951,32.806,10.567,2021-05-19,288
67,2,2,26.836,1.749,36.54,7.418,2021-05-20,293
68,2,2,27.139,1.402,38.993,5.407,2021-05-21,288
69,2,2,27.903,1.601,27.875,8.068,2021-05-22,288
70,2,2,27.115,1.77,22.677,3.593,2021-05-23,288
71,1,1,25.486,4.644,24.576,4.957,2021-05-24,288
72,1,1,26.181,3.919,27.941,9.216,2021-05-25,288
73,1,1,26.049,3.535,25.92,4.952,2021-05-26,288
74,1,1,23.333,0.668,46.615,5.753,2021-05-27,288
75,1,1,25.955,4.131,45.503,11.054,2021-05-28,288
76,1,1,28.309,5.832,39.076,10.396,2021-05-29,288
77,1,1,28.153,3.722,38.889,7.43,2021-05-30,288
78,1,1,25.573,1.985,44.649,4.77,2021-05-31,288
79,1,1,24.223,2.976,42.275,9.329,2021-06-01,287
80,1,1,25.833,3.939,38.493,6.962,2021-06-02,288
81,1,1,26.017,3.897,39.403,6.367,2021-06-03,288
82,1,1,25.868,3.435,43.809,5.786,2021-06-04,288
83,1,1,26.33,3.025,46.014,5.454,2021-06-05,288
84,1,1,29.038,6.401,38.052,15.887,2021-06-06,288
85,1,1,29.021,5.264,30.965,11.954,2021-06-07,288
86,1,1,29.101,4.961,28.524,10.084,2021-06-08,288
87,1,1,28.861,4.361,28.608,9.586,2021-06-09,288
88,1,1,28.233,3.397,30.198,8.788,2021-06-10,288
89,1,1,27.705,3.291,35.969,5.347,2021-06-11,288
90,1,1,28.969,4.646,40.599,9.129,2021-06-12,287
91,1,1,30.26,5.253,37.552,8.65,2021-06-13,288
92,1,1,28.306,2.976,41.243,7.204,2021-06-14,288
93,1,1,26.667,2.674,49.378,7.264,2021-06-15,288
94,1,1,25.986,2.678,46.771,8.805,2021-06-16,288
95,1,1,24.806,1.624,51.931,4.421,2021-06-17,288
96,1,1,24.521,1.859,51.108,8.265,2021-06-18,288
97,1,1,25.92,4.747,42.042,9.444,2021-06-19,288
98,1,1,24.92,2.973,43.017,5.549,2021-06-20,288
99,1,1,23.631,2.949,43.758,9.515,2021-06-21,293
100,1,1,24.927,3.343,41.431,7.299,2021-06-22,288
101,1,1,26.213,4.384,39.535,12.782,2021-06-23,288
8,2,3,22.66,2.345,31.944,3.802,2021-05-01,288
9,2,3,22.583,2.321,32.285,5.352,2021-05-02,288
10,2,3,22.962,2.464,34.653,2.996,2021-05-03,288
11,2,3,23.67,2.496,37.948,4.027,2021-05-04,288
12,2,3,24.625,2.333,36.934,7.854,2021-05-05,288
13,2,3,25.889,2.407,34.399,4.868,2021-05-06,288
23,2,3,26.111,2.411,29.844,7.001,2021-05-07,288
24,2,3,27.538,2.895,28.295,2.462,2021-05-08,288
25,2,3,26.288,1.82,34.774,3.648,2021-05-09,288
30,2,3,25.028,2.1,36.815,4,2021-05-10,287
39,2,3,24.073,2.105,33.299,4.655,2021-05-11,288
40,2,3,24.882,2.183,35.222,3.042,2021-05-12,288
41,2,3,25.118,2.367,36.604,4.671,2021-05-13,288
42,2,3,25.417,2.052,35.306,4.07,2021-05-14,288
43,2,3,26.885,2.824,31.927,4.4,2021-05-15,288
44,2,3,27.694,2.648,34.472,4.634,2021-05-16,288
45,2,3,26.257,1.847,35.375,7.584,2021-05-17,288
59,2,3,25.962,2.333,31.993,3.309,2021-05-18,288
60,2,3,26.125,2.053,32.549,10.379,2021-05-19,288
61,2,3,26.063,1.605,35.721,6.068,2021-05-20,293
62,2,3,26.104,1.583,38.483,5.038,2021-05-21,288
63,2,3,26.917,2.291,27.653,8.666,2021-05-22,288
64,2,3,25.642,2.172,22.948,3.893,2021-05-23,288
