Metodo,Tiempo_s,TP,FP,TN,FN,Precision,Recall,Accuracy,F1-Score
Temperatura por dias (percentil_95) (3 vecinos),0.0228,186,25,399,89,0.8815,0.6764,0.8369,0.7654
Temperatura por horas (percentil_95) (3 vecinos),0.0398,77,1,241,20,0.9872,0.7938,0.9381,0.88
Temperatura por dias (percentil_95) (5 vecinos),0.0457,204,39,385,71,0.8395,0.7418,0.8426,0.7876
Temperatura por horas (percentil_95) (5 vecinos),0.101,82,4,238,15,0.9535,0.8454,0.944,0.8962
Temperatura por dias (percentil_95) (7 vecinos),0.0572,216,41,383,59,0.8405,0.7855,0.8569,0.812
Temperatura por horas (percentil_95) (7 vecinos),0.0577,82,5,237,15,0.9425,0.8454,0.941,0.8913
Temperatura por dias (media_varianza) (3 vecinos),0.1027,157,16,408,118,0.9075,0.5709,0.8083,0.7009
Temperatura por horas (media_varianza) (3 vecinos),0.0339,77,1,241,20,0.9872,0.7938,0.9381,0.88
Temperatura por dias (media_varianza) (5 vecinos),0.0911,183,25,399,92,0.8798,0.6655,0.8326,0.7578
Temperatura por horas (media_varianza) (5 vecinos),0.0275,82,4,238,15,0.9535,0.8454,0.944,0.8962
Temperatura por dias (media_varianza) (7 vecinos),0.0367,166,16,408,109,0.9121,0.6036,0.8212,0.7265
Temperatura por horas (media_varianza) (7 vecinos),0.1444,81,4,238,16,0.9529,0.8351,0.941,0.8901
Temperatura por dias (maximo_promedio) (3 vecinos),0.0589,55,0,424,220,1.0,0.2,0.6853,0.3333
Temperatura por horas (maximo_promedio) (3 vecinos),0.0246,40,0,242,57,1.0,0.4124,0.8319,0.5839
Temperatura por dias (maximo_promedio) (5 vecinos),0.0345,35,0,424,240,1.0,0.1273,0.6567,0.2258
Temperatura por horas (maximo_promedio) (5 vecinos),0.0797,33,0,242,64,1.0,0.3402,0.8112,0.5077
Temperatura por dias (maximo_promedio) (7 vecinos),0.0551,23,0,424,252,1.0,0.0836,0.6395,0.1544
Temperatura por horas (maximo_promedio) (7 vecinos),0.0531,31,0,242,66,1.0,0.3196,0.8053,0.4844
Temperatura por dias (temporalidad_distinta) (3 vecinos),0.1429,256,133,291,19,0.6581,0.9309,0.7825,0.7711
Temperatura por horas (temporalidad_distinta) (3 vecinos),0.1066,94,32,210,3,0.746,0.9691,0.8968,0.843
Temperatura por dias (temporalidad_distinta) (5 vecinos),0.1371,253,146,278,22,0.6341,0.92,0.7597,0.7507
Temperatura por horas (temporalidad_distinta) (5 vecinos),0.06,94,37,205,3,0.7176,0.9691,0.882,0.8246
Temperatura por dias (temporalidad_distinta) (7 vecinos),0.1369,249,148,276,26,0.6272,0.9055,0.7511,0.7411
Temperatura por horas (temporalidad_distinta) (7 vecinos),0.078,91,35,207,6,0.7222,0.9381,0.8791,0.8161
